#timestamp x y z qx qy qz qw id
1716395530.182453 -4.868566 -3.130123 6.365835 -0.011746 0.006362 -0.165622 0.986099 339
1716395531.182702 -5.020859 -2.968107 6.365228 -0.002431 0.001363 -0.229320 0.973347 340
1716395532.182939 -5.158299 -2.871116 6.371916 -0.003988 -0.001956 -0.311356 0.950283 341
1716395533.183177 -5.376800 -2.811844 6.367218 -0.011785 0.001211 -0.402540 0.915326 342
1716395534.183418 -5.418243 -2.572471 6.370935 0.000694 -0.004134 -0.490194 0.871603 343
1716395535.183655 -5.530943 -2.426146 6.372145 -0.010653 -0.001327 -0.573425 0.819188 344
1716395536.183916 -5.668085 -2.274334 6.367773 -0.007286 -0.001287 -0.591048 0.806602 345
1716395537.184130 -5.619869 -2.001818 6.369470 -0.003273 -0.003514 -0.591426 0.806345 346
1716395538.184369 -5.768510 -1.821416 6.364955 -0.014465 0.002418 -0.590415 0.806966 347
1716395539.184611 -5.843055 -1.634508 6.370465 -0.013848 0.000223 -0.590825 0.806681 348
1716395540.251424 -5.819485 -1.356715 6.366977 -0.006969 -0.001710 -0.591684 0.806138 349
1716395541.251667 -5.984160 -1.177107 6.362434 -0.018551 0.003317 -0.590032 0.807160 351
1716395542.385014 -6.072461 -0.966778 6.362088 -0.011154 -0.000593 -0.590501 0.806960 352
1716395543.518278 -6.045210 -0.667559 6.360825 -0.002141 -0.007701 -0.643883 0.765082 353
1716395544.584627 -6.063865 -0.472094 6.364420 -0.007209 -0.007637 -0.721506 0.692329 354
1716395545.584870 -6.122296 -0.233717 6.354637 -0.009909 -0.001577 -0.806566 0.591059 355
1716395546.585188 -5.945532 -0.070597 6.357541 -0.001015 -0.014254 -0.846136 0.532776 356
1716395547.585431 -5.896263 0.153741 6.352504 -0.008558 -0.002247 -0.845326 0.534178 357
1716395548.919084 -5.851906 0.456783 6.349913 -0.012820 0.001255 -0.777434 0.628832 358
1716395549.919323 -5.772968 0.642802 6.349410 -0.004802 -0.010006 -0.706456 0.707670 359
1716395550.986081 -5.734631 0.898080 6.345586 -0.011443 -0.000997 -0.669052 0.743127 360
1716395552.053002 -5.860487 1.123618 6.342773 -0.018552 0.003236 -0.660212 0.750843 361
1716395553.053155 -5.862655 1.314917 6.344909 -0.009845 -0.005624 -0.598186 0.801277 362
1716395554.119908 -5.872083 1.578840 6.340117 -0.012145 -0.000350 -0.574999 0.818064 363
1716395555.386785 -6.035345 1.827525 6.338973 -0.011216 -0.003017 -0.522460 0.852584 364
1716395556.520190 -6.219687 1.985126 6.340398 -0.008562 -0.000170 -0.494538 0.869114 365
1716395557.520334 -6.240980 2.244155 6.338334 -0.001149 -0.006574 -0.496827 0.867824 366
1716395558.720524 -6.351319 2.473424 6.338724 -0.011897 0.002169 -0.495741 0.868386 367
1716395559.787232 -6.577359 2.627759 6.341569 -0.020871 0.004826 -0.494160 0.869107 368
1716395561.187251 -6.741404 2.880556 6.341427 -0.010641 0.002498 -0.494472 0.869125 369
1716395562.587415 -6.884602 3.135387 6.339813 -0.012860 0.002899 -0.494849 0.868879 370
1716395563.920785 -7.000586 3.417320 6.341850 -0.016589 -0.001047 -0.495816 0.868269 371
1716395565.320470 -7.125930 3.715182 6.337025 -0.004400 -0.005141 -0.496538 0.867988 372
1716395566.386165 -7.221541 3.919204 6.341219 -0.011757 0.000534 -0.498987 0.866530 373
1716395567.386265 -7.417558 4.083465 6.340287 -0.012614 0.001472 -0.580482 0.814174 374
1716395568.455049 -7.379349 4.337655 6.335919 -0.010404 -0.003812 -0.691553 0.722241 375
1716395569.456647 -7.339794 4.517425 6.339207 -0.011330 -0.007013 -0.783787 0.620887 376
1716395570.724507 -7.304758 4.814067 6.330928 0.017158 -0.006473 0.881572 -0.471693 377
1716395571.724888 -7.190749 4.976708 6.334439 0.015929 0.001034 0.884039 -0.467141 378
1716395572.725140 -6.935544 5.186723 6.315935 0.014691 -0.002230 0.884414 -0.466467 379
1716395574.125543 -6.631227 5.702448 6.313563 -0.009330 -0.006961 -0.829341 0.558621 380
1716395575.125730 -6.554243 6.056715 6.309766 -0.007930 -0.005805 -0.757923 0.652270 381
1716395576.259110 -6.589609 6.488552 6.308003 -0.007408 -0.003635 -0.624746 0.780785 382
1716395577.325682 -6.783763 6.857368 6.307966 -0.009142 -0.005100 -0.457344 0.889229 384
1716395578.391993 -7.080941 7.145818 6.312156 -0.011449 0.003764 -0.366709 0.930258 385
1716395579.591890 -7.408195 7.451208 6.313581 -0.014971 0.004432 -0.413786 0.910240 386
1716395580.592129 -7.636230 7.751071 6.319930 -0.015270 0.004936 -0.489867 0.871649 387
1716395581.925787 -7.864334 8.192546 6.317576 -0.013872 0.003982 -0.551047 0.834350 388
1716395582.926031 -7.984919 8.542069 6.316245 -0.013219 0.003419 -0.576135 0.817240 389
1716395583.926140 -8.109335 8.892622 6.314622 -0.013108 0.001933 -0.551005 0.834397 390
1716395584.926383 -8.268037 9.234107 6.318278 -0.011920 0.003401 -0.526517 0.850075 391
1716395585.993400 -8.457835 9.590326 6.320005 -0.017566 0.008531 -0.548590 0.835863 392
1716395586.993931 -8.537834 9.738058 6.322113 -0.012648 0.001576 -0.686100 0.727396 393
1716395588.060131 -8.530890 9.713921 6.323016 -0.012200 -0.000749 -0.816631 0.577031 394
1716395589.060372 -8.452508 9.764672 6.324108 0.012975 0.002018 0.907931 -0.418913 395
1716395590.060967 -8.344227 9.852479 6.324448 0.010692 0.005305 0.943169 -0.332100 396
1716395591.061202 -8.165217 9.944468 6.319095 0.011980 0.006620 0.943003 -0.332504 397
1716395592.061448 -8.077794 10.133407 6.318707 0.013913 -0.004026 0.942773 -0.333122 398
1716395593.061769 -7.874328 10.209810 6.315788 0.009780 0.007234 0.953261 -0.301902 399
1716395594.062330 -7.671688 10.279689 6.315506 0.010777 0.006262 0.972695 -0.231751 400
1716395595.063005 -7.500180 10.487967 6.310235 0.009708 0.000513 0.988568 -0.150461 401
1716395596.063244 -7.247723 10.437281 6.306488 0.009382 0.010942 0.999828 -0.011680 402
1716395597.129744 -7.064593 10.396082 6.310714 0.009524 0.011174 0.984926 0.172354 403
1716395598.129869 -6.793928 10.382652 6.302364 0.005345 0.013296 0.939766 0.341518 404
1716395599.130934 -6.724717 10.140338 6.309117 0.006342 0.019179 0.864299 0.502572 405
1716395600.131349 -6.586725 9.958506 6.315821 0.011961 0.019211 0.829672 0.557793 406
1716395601.198356 -6.423383 9.784851 6.312985 0.006739 0.014552 0.829910 0.557667 407
1716395602.198600 -6.432540 9.527729 6.322816 0.012700 0.023554 0.828710 0.559038 408
1716395603.198841 -6.324278 9.343165 6.328015 0.006161 0.011067 0.808759 0.588004 409
1716395604.199254 -6.193756 9.140625 6.325917 0.001991 0.016355 0.753360 0.657402 410
1716395605.199636 -6.285246 8.898800 6.340191 0.006060 0.021738 0.717991 0.695687 411
1716395606.199944 -6.185423 8.674966 6.339198 -0.002096 0.011302 0.724354 0.689332 412
1716395607.200186 -6.139836 8.462258 6.348885 0.001475 0.013786 0.732590 0.680529 413
1716395608.333794 -6.208827 8.143365 6.359629 0.009522 0.021785 0.736651 0.675856 414
1716395609.400715 -6.127310 7.887480 6.363495 0.007361 0.015267 0.743546 0.668470 415
1716395610.400969 -6.012777 7.662847 6.362817 0.005275 0.017443 0.759181 0.650624 416
1716395611.401199 -6.072097 7.369556 6.377385 0.010113 0.021166 0.780699 0.624467 417
1716395612.468162 -5.934541 7.127546 6.377373 0.008019 0.014138 0.810040 0.586150 418
1716395613.468370 -5.790570 6.948676 6.379105 0.008416 0.013781 0.830387 0.556953 419
1716395614.468620 -5.881467 6.894890 6.384270 0.010569 0.016943 0.828841 0.559127 420
1716395617.469337 -5.864255 6.957772 6.277399 0.007472 0.010107 0.828984 0.559131 423
1716395622.537256 -5.854613 6.943837 6.406733 0.010662 0.011882 0.828934 0.559119 428
1716395624.537746 -5.897717 6.901465 6.415662 0.008916 0.013892 0.788035 0.615409 430
1716395625.604674 -5.748311 6.689270 6.410020 0.009614 0.012841 0.735535 0.677297 431
1716395626.604918 -5.761856 6.257547 6.418657 0.013770 0.009699 0.735046 0.677808 432
1716395627.605156 -5.760148 5.848257 6.424649 0.007185 0.013823 0.735665 0.677167 433
1716395628.605398 -5.742400 5.453586 6.430107 0.008056 0.015288 0.735638 0.677155 434
1716395629.605639 -5.712589 5.047299 6.440536 0.007202 0.015073 0.735433 0.677392 435
1716395630.605872 -5.684736 4.630873 6.452131 0.007096 0.016645 0.735810 0.676947 436
1716395631.606119 -5.648852 4.221905 6.457567 0.008756 0.018211 0.735230 0.677516 437
1716395632.606361 -5.617794 3.806365 6.465187 0.028615 -0.005903 0.734629 0.677839 438
1716395633.673295 -5.580347 3.350230 6.476199 0.034293 -0.004838 0.742242 0.669236 439
1716395634.673548 -5.507286 2.925870 6.487948 0.037144 -0.001130 0.781560 0.622723 440
1716395635.740482 -5.374347 2.487895 6.495669 0.037264 0.000661 0.825616 0.563000 441
1716395636.740854 -5.191972 2.099603 6.497983 0.037564 0.001329 0.849308 0.526557 442
1716395637.741228 -5.008201 1.722634 6.499830 0.031071 0.001250 0.849909 0.526012 443
1716395638.741468 -4.828557 1.328515 6.503519 0.040072 0.000169 0.868115 0.494743 444
1716395639.941761 -4.566641 0.880393 6.508144 0.054808 0.002437 0.930251 0.362799 445
1716395640.942081 -4.192667 0.625615 6.500530 0.062615 0.009333 0.979103 0.193260 446
1716395641.942325 -3.832948 0.572661 6.497729 0.026688 0.011519 0.992195 0.121261 447
1716395643.142616 -3.774325 0.456438 6.497262 0.019351 0.009176 0.999355 -0.028830 448
1716395645.076310 -3.747923 0.492290 6.495662 0.023607 0.014708 0.988072 -0.151462 449
1716395647.276845 -3.283239 0.711230 6.483702 0.035627 0.007938 0.981933 -0.185673 451
1716395648.277082 -2.837409 0.895973 6.469592 0.037278 0.005315 0.965730 -0.256803 453
1716395649.277327 -2.438096 1.113470 6.454697 0.037607 0.005484 0.965790 -0.256525 455
1716395650.544303 -1.930153 1.394723 6.445956 0.040668 0.005704 0.965469 -0.257259 456
1716395651.544551 -1.541505 1.610384 6.429702 0.049358 0.010577 0.965268 -0.256338 457
1716395652.878216 -1.022026 1.903420 6.414923 0.049948 0.009871 0.965212 -0.256465 458
1716395654.345361 -0.466866 2.252146 6.398653 0.044010 0.008811 0.957432 -0.285148 459
1716395655.345664 -0.086596 2.500622 6.391404 0.044954 0.009865 0.957409 -0.285044 461
1716395656.345959 0.292154 2.747884 6.380125 0.043246 0.007138 0.957302 -0.285748 462
1716395657.346252 0.671539 2.978923 6.363632 0.052635 0.010387 0.961556 -0.269318 463
1716395658.546545 1.137765 3.254186 6.354822 0.040635 0.005132 0.968187 -0.246853 464
1716395659.546787 1.523932 3.466780 6.338245 0.049331 0.010019 0.969976 -0.237934 465
1716395660.547027 1.923143 3.660417 6.327923 0.045298 0.007488 0.973702 -0.223153 466
1716395661.547277 2.334129 3.857234 6.318649 0.049757 0.009870 0.973437 -0.223265 468
